,V1,V2
1,0,472
2,1,564
3,1,709
4,2,638
5,3,961
6,3,477
7,3,231
8,4,282
9,5,1055
10,5,487
11,5,137
12,6,878
13,6,286
14,6,778
15,7,492
16,8,562
17,8,183
18,9,166
19,11,422
20,11,500
21,11,615
22,11,233
23,12,533
24,12,646
25,12,254
26,13,815
27,13,695
28,13,708
29,14,971
30,17,554
31,17,340
32,20,769
33,22,568
34,24,647
35,26,658
36,26,585
37,27,759
38,27,860
39,27,494
40,28,412
41,29,453
42,30,979
43,30,214
44,30,239
45,31,797
46,32,695
47,33,454
48,35,565
49,35,999
50,38,157
51,41,362
52,43,692
53,44,1115
54,44,962
55,46,393
56,47,127
57,48,885
58,48,1084
59,49,596
60,52,1052
61,52,120
62,53,41
63,53,389
64,55,23
65,55,961
66,55,1029
67,57,280
68,58,244
69,59,36
70,61,113
71,66,86
72,67,316
73,67,660
74,68,686
75,68,982
76,70,891
77,71,541
78,71,1103
79,72,707
80,75,351
81,77,214
82,78,581
83,78,732
84,78,863
85,78,1023
86,79,422
87,81,920
88,82,655
89,82,39
90,84,830
91,85,659
92,87,1057
93,90,752
94,91,497
95,91,348
96,91,924
97,93,512
98,93,677
99,93,346
100,96,640
101,97,75
102,97,927
103,97,776
104,97,800
105,98,1101
106,98,923
107,98,364
108,100,1113
109,101,243
110,103,92
111,103,363
112,104,1105
113,105,94
114,109,442
115,110,275
116,110,583
117,112,795
118,112,7
119,113,821
120,113,202
121,114,428
122,115,1052
123,117,770
124,117,989
125,117,565
126,119,357
127,119,733
128,121,1005
129,121,592
130,121,1059
131,122,1006
132,122,945
133,124,1049
134,124,1085
135,124,431
136,124,403
137,127,619
138,127,199
139,127,428
140,128,930
141,132,203
142,132,628
143,133,968
144,133,1079
145,133,132
146,133,654
147,134,702
148,135,771
149,136,467
150,136,89
151,137,531
152,137,565
153,137,763
154,137,683
155,138,17
156,138,685
157,138,373
158,140,106
159,140,1005
160,140,502
161,141,223
162,141,808
163,141,158
164,143,568
165,143,715
166,144,882
167,146,593
168,146,975
169,146,939
170,146,997
171,147,155
172,148,547
173,148,988
174,148,831
175,149,440
176,149,1025
177,149,895
178,152,250
179,152,53
180,152,491
181,152,710
182,154,636
183,154,926
184,156,432
185,156,70
186,157,333
187,157,709
188,158,537
189,158,1087
190,161,680
191,161,975
192,162,363
193,164,749
194,164,262
195,164,532
196,164,367
197,165,172
198,165,845
199,165,951
200,165,652
201,166,199
202,167,818
203,169,226
204,170,1
205,171,89
206,174,416
207,174,776
208,174,12
209,175,77
210,175,1082
211,177,628
212,177,20
213,177,874
214,178,552
215,178,1125
216,178,1040
217,179,793
218,180,953
219,181,689
220,181,471
221,183,573
222,183,465
223,184,375
224,185,692
225,189,668
226,192,787
227,193,119
228,195,90
229,196,521
230,197,200
231,198,669
232,199,269
233,201,901
234,201,151
235,202,114
236,202,283
237,203,213
238,203,438
239,203,302
240,203,993
241,204,64
242,204,432
243,205,290
244,205,378
245,208,388
246,209,930
247,209,714
248,209,1117
249,211,756
250,211,526
251,213,542
252,213,374
253,213,684
254,216,424
255,216,153
256,217,93
257,217,194
258,220,816
259,221,839
260,222,474
