,V1,V2
1,0,0
2,0,789
3,1,1
4,1,419
5,1,715
6,1,255
7,2,2
8,2,162
9,2,955
10,3,3
11,3,820
12,3,704
13,3,87
14,4,4
15,4,76
16,4,176
17,4,669
18,4,70
19,5,5
20,5,644
21,5,315
22,5,796
23,6,6
24,6,947
25,6,701
26,6,1094
27,7,7
28,7,163
29,8,8
30,8,645
31,8,360
32,8,1109
33,9,9
34,9,777
35,10,10
36,10,795
37,11,11
38,11,149
39,11,1031
40,11,484
41,11,589
42,12,12
43,12,303
44,12,853
45,12,298
46,13,13
47,13,78
48,13,122
49,13,300
50,13,346
51,14,14
52,14,589
53,15,15
54,15,277
55,16,16
56,16,233
57,16,1118
58,16,104
59,16,88
60,17,17
61,17,685
62,17,56
63,17,373
64,17,826
65,18,18
66,18,447
67,18,643
68,18,34
69,19,19
70,19,964
71,19,247
72,20,20
73,20,109
74,20,628
75,20,1085
76,21,21
77,21,728
78,22,22
79,22,1124
80,22,42
81,22,492
82,22,753
83,23,23
84,23,705
85,23,619
86,24,24
87,24,475
88,25,25
89,26,26
90,26,672
91,26,675
92,26,494
93,26,835
94,27,27
95,27,440
96,27,433
97,27,1025
98,28,28
99,29,29
100,29,73
101,29,822
102,29,794
103,30,30
104,30,1029
105,31,31
106,31,770
107,31,565
108,32,32
109,32,256
110,32,33
111,33,33
112,33,509
113,33,381
114,33,32
115,33,711
116,34,34
117,34,512
118,34,959
119,34,18
120,34,447
121,35,35
122,35,212
123,35,1043
124,36,36
125,36,920
126,36,1119
127,37,37
128,37,210
129,37,1030
130,38,38
131,38,132
132,38,968
133,38,480
134,38,772
135,39,39
136,39,655
137,39,840
138,40,40
139,40,949
140,40,656
141,41,41
142,41,1036
143,42,42
144,42,556
145,42,22
146,42,984
147,43,43
148,43,1076
149,43,860
150,43,213
151,44,44
152,44,976
153,44,909
154,44,772
155,45,45
156,45,591
157,45,740
158,45,520
159,46,46
160,46,632
161,46,994
162,47,47
163,47,638
164,48,48
165,48,76
166,49,49
167,49,642
168,49,844
169,49,430
170,49,319
171,50,50
172,50,1090
173,50,778
174,50,660
175,50,964
176,51,51
177,51,330
178,51,196
179,51,566
180,51,665
181,52,52
182,52,496
183,52,687
184,53,53
185,53,767
186,53,153
187,53,94
188,53,1093
189,54,54
190,54,228
191,55,55
192,55,324
193,55,605
194,56,56
195,56,17
196,56,685
197,56,373
198,57,57
199,58,58
200,59,59
201,59,545
202,59,319
203,60,60
204,61,61
205,62,62
206,62,543
207,62,326
208,63,63
209,63,798
210,63,66
211,64,64
212,64,404
213,64,461
214,65,65
215,65,619
216,66,66
217,66,798
218,67,67
219,67,474
220,67,446
221,68,68
222,68,435
223,68,360
224,68,991
225,69,69
226,69,479
227,69,178
228,70,70
229,70,176
230,70,414
231,70,1096
232,70,4
233,71,71
234,71,216
235,71,351
236,72,72
237,72,449
238,72,755
239,73,73
240,73,29
241,73,822
242,74,74
243,75,75
244,75,85
245,76,76
246,76,4
247,76,48
248,76,452
249,76,656
250,77,77
251,77,395
252,77,289
253,77,1082
254,78,78
255,78,13
256,78,346
257,78,978
258,79,79
259,79,594
260,80,80
261,80,852
262,80,972
263,80,352
264,81,81
265,81,640
266,81,919
267,82,82
268,82,617
269,83,83
270,83,1111
271,83,455
272,83,193
273,83,1035
274,84,84
275,84,1012
276,85,85
277,85,140
278,85,800
279,85,927
280,85,75
281,86,86
282,86,625
283,86,626
284,86,860
285,86,993
286,87,87
287,87,704
288,87,3
289,87,1037
290,88,88
291,88,1118
292,88,334
293,88,1099
294,88,16
295,89,89
296,89,264
297,89,467
298,90,90
299,90,809
300,91,91
301,91,1032
302,91,833
303,92,92
304,92,865
305,93,93
306,93,1091
307,93,550
308,93,194
309,93,204
310,94,94
311,94,1086
312,94,53
313,94,153
314,95,95
315,95,111
316,95,421
317,95,546
318,95,472
319,96,96
320,96,950
321,96,1027
322,96,842
323,97,97
324,97,875
325,97,739
326,97,698
327,97,575
328,98,98
329,98,558
330,98,678
331,98,890
332,98,641
333,99,99
334,99,781
335,99,279
336,99,230
337,99,1086
338,100,100
339,100,673
340,100,761
341,100,499
342,101,101
343,101,379
344,101,924
345,101,435
346,102,102
347,102,624
348,102,454
349,102,785
350,102,490
351,103,103
352,103,393
353,103,1067
354,103,885
355,104,104
356,104,16
357,105,105
358,105,174
359,106,106
360,106,592
361,107,107
362,107,639
363,108,108
364,108,970
365,108,209
366,109,109
367,109,20
368,109,917
369,110,110
370,110,998
371,110,973
372,110,1120
373,111,111
374,111,95
375,111,989
376,111,261
377,111,546
378,112,112
379,113,113
380,113,452
381,113,528
382,113,596
383,114,114
384,114,283
385,114,353
386,114,996
387,114,183
388,115,115
389,115,219
390,116,116
391,116,606
392,116,383
393,117,117
394,117,1022
395,117,257
396,118,118
397,118,804
398,119,119
399,119,929
400,119,272
401,119,566
402,120,120
403,120,534
404,120,945
405,120,1080
406,121,121
407,121,409
408,121,1003
409,121,232
410,122,122
411,122,300
412,122,841
413,122,858
414,122,13
415,123,123
416,123,831
417,124,124
418,124,793
419,124,140
420,124,1067
421,125,125
422,125,363
423,126,126
424,126,504
425,127,127
426,128,128
427,128,950
428,128,969
429,129,129
430,130,130
431,130,407
432,131,131
433,131,881
434,131,746
435,131,1018
436,132,132
437,132,38
438,132,480
439,133,133
440,133,351
441,134,134
